age,educ,logearn
55,4,6.3168759
42,3,6.9077554
67,2,6.868526
60,2,6.3716121
48,2,7.5812097
59,5,6.1092477
35,4,6.9638424
49,5,7.967145
52,2,7.4899707
55,3,7.0833879
34,2,7.0508509
53,2,6.3969297
55,3,6.5792513
25,2,6.8023949
40,3,6.64539
49,3,7.967145
32,3,6.6022487
42,2,6.0282784
40,3,6.590301
25,3,6.7214255
25,2,6.4520488
38,2,6.2097964
41,3,7.9536695
31,1,6.5510802
67,4,6.9638424
29,4,6.3099184
56,1,6.9454942
60,3,6.9077554
42,2,6.253829
37,2,6.8243737
58,2,5.9914646
54,2,6.779922
46,2,6.0014148
57,5,7.2050037
46,3,6.1047931
31,2,7.6638775
46,3,6.7123485
51,2,6.0014148
50,2,6.4614682
45,4,7.0501227
63,3,6.5400195
41,2,7.5813375
37,2,6.0014148
42,2,6.7631688
37,3,7.58148
34,2,7.2739944
26,3,6.905252
36,4,6.9077554
24,2,5.9506426
40,3,7.8240461
25,3,6.9077554
46,3,7.3132205
36,4,7.5863724
26,3,5.768321
57,4,7.967145
24,4,6.8679743
25,3,6.526041
36,5,7.2739944
54,5,7.967145
33,4,7.0836396
34,3,6.1092477
45,4,7.5208578
55,4,6.5510802
51,3,7.8240461
62,3,6.6385679
50,3,7.1848187
32,3,6.3969297
43,3,7.0508509
67,2,5.9914646
45,2,6.5956984
57,3,6.0515242
33,3,5.768321
61,3,7.0508509
33,3,7.4776044
45,3,6.8243737
54,3,6.779922
60,3,5.1929569
45,3,7.0508509
41,5,7.2872391
36,2,6.9077554
54,4,7.5616417
62,3,5.1647859
64,3,5.4822211
28,2,5.9532433
41,1,6.8277049
35,4,7.6569896
27,4,5.7037826
40,4,7.967145
60,3,6.3577037
28,4,5.857933
38,5,6.7631688
31,1,6.0711994
33,4,7.1686339
49,3,6.7627296
30,1,7.3132205
31,1,7.456316
29,2,6.2146082
49,4,7.7605309
31,3,7.2050037
52,4,7.3385372
37,4,6.0876832
31,2,6.856462
34,3,7.158514
32,2,6.7855878
54,3,6.8511848
29,3,6.2146082
47,3,6.2915692
48,1,5.7990928
39,4,6.5400195
36,2,5.4413781
65,1,7.377759
51,3,7.0934048
58,2,5.7037826
46,1,5.521461
47,1,7.0030656
58,5,6.5400195
29,2,6.2025356
47,4,7.5912361
30,4,6.7391
29,4,6.84588
29,4,6.7391
28,5,6.5808473
27,4,4.7874918
25,4,6.9077554
52,3,6.8243737
30,2,6.253829
32,3,6.779922
43,3,7.2778006
51,4,7.7604671
46,3,7.3991594
28,4,6.5118494
51,3,7.499805
35,2,7.130899
32,2,6.5510802
43,3,6.5118494
47,3,7.3132205
29,5,6.868526
69,3,4.6051702
22,3,6.3279366
61,2,6.1527328
56,2,6.5117455
56,2,7.2050037
52,3,7.2442274
36,2,6.8243737
36,2,6.9077554
50,2,5.2509637
53,2,6.8277049
49,2,6.7298241
33,2,6.0001764
46,2,5.7525725
48,4,7.130899
52,4,7.3132205
38,3,6.9638424
59,2,7.0833879
25,3,6.8276291
25,4,6.3168759
26,4,5.9114199
27,4,7.0030656
30,1,6.5792513
53,2,6.2146082
62,3,7.2997975
58,3,6.6631327
29,3,7.2050037
29,3,7.3132205
29,2,5.3471074
51,3,6.4738908
47,3,5.9914646
70,2,6.4861608
28,2,7.4442487
37,2,6.5708828
33,4,7.130899
57,3,6.7631688
51,3,7.2654295
24,2,6.8679743
27,3,7.2189097
38,4,6.9638424
32,4,7.9373746
59,3,7.2048926
56,3,6.4530106
25,3,6.8669333
63,4,7.181592
32,3,6.8023949
41,4,7.967145
39,2,6.3561077
43,2,7.2442274
55,3,5.6237288
23,2,6.9763479
52,5,7.967145
30,1,6.2225761
26,5,6.9818602
42,3,6.3712697
55,2,6.5120425
26,4,6.6933236
62,5,6.3577037
59,4,7.2108183
45,3,7.2050037
58,2,7.456316
28,5,7.130899
31,2,5.9914646
45,4,7.130899
46,2,7.495542
36,2,6.1202974
52,3,6.5940852
56,3,6.6821961
54,1,4.3820267
50,2,6.5400195
43,3,7.6030998
40,1,6.5147128
35,1,6.1092477
27,2,5.9914646
28,1,5.9914646
24,1,5.768321
35,2,6.5792513
55,2,6.7334018
34,4,7.2442274
52,3,7.2442274
41,2,7.0900769
52,2,6.253829
24,2,4.7874918
63,3,7.7314219
55,2,6.6476884
60,4,7.1385574
36,3,6.9173193
44,4,6.9426398
73,3,6.5510802
51,2,7.0335064
38,2,3.624341
66,4,6.5510802
51,1,6.7851467
55,2,6.6795993
24,3,6.1110239
23,3,6.3969297
25,3,5.9989367
27,3,5.9506426
24,3,6.2984896
41,5,6.6592941
54,5,7.0501227
49,3,6.7298241
43,5,7.3991594
66,5,6.9450512
30,3,6.7631688
66,4,7.714231
56,5,7.967145
57,5,7.7440023
25,2,6.5220928
25,4,7.0030656
27,3,5.7268476
38,3,6.2265368
48,4,7.0501227
28,3,6.5510802
51,2,7.5616779
66,5,7.5414762
54,2,7.7927904
56,3,7.6293392
47,4,6.2344108
55,4,7.7100978
21,2,6.253829
38,3,7.3132205
53,4,7.6009026
33,5,4.9488306
28,4,6.6450911
31,4,7.0030656
32,2,6.8023949
32,4,7.967145
59,4,7.1899223
26,2,7.3132205
60,2,7.7310534
38,2,7.3132205
46,5,7.5616779
65,4,7.5411525
34,3,6.5998707
34,4,6.9077554
46,2,6.5117455
33,2,7.130899
42,4,7.0900769
51,3,7.5202346
65,1,6.3099184
53,5,7.5616779
31,4,7.0501227
53,5,6.9169626
53,4,7.7685332
62,2,7.6103578
33,3,7.3460102
53,3,6.0112672
35,4,6.8023949
58,5,7.7605309
23,5,7.3991594
62,4,7.1641788
51,2,6.9077554
55,2,6.5792513
22,2,6.182085
43,2,7.2442274
30,5,6.3577037
41,3,6.363028
54,3,7.0501227
44,3,6.779922
23,4,5.7037826
47,3,6.9077554
71,1,7.1701198
53,2,7.3505163
42,4,7.4897475
72,4,6.5118494
31,5,7.0508509
53,5,7.2048926
39,3,6.7334018
60,5,7.3382382
26,2,5.857933
48,4,5.8861041
60,4,7.3385372
47,2,7.456316
37,2,6.1092477
58,2,7.0900769
62,3,7.967145
45,5,7.7440023
64,3,6.3099184
48,2,6.7334018
51,5,7.467371
59,2,6.6846118
43,3,6.8023949
28,5,6.7742238
51,3,7.0501227
64,3,5.6237288
58,5,7.8617849
26,4,6.5940852
51,2,6.0867748
46,1,6.253829
52,3,7.2485042
43,1,6.779922
53,4,7.6568103
57,5,5.6365738
43,3,6.8023949
49,4,6.2961879
72,5,7.5616417
36,5,7.967145
64,3,7.3449774
41,5,7.7437034
43,4,7.3385372
65,4,5.8464389
64,3,7.499805
46,1,6.1424675
25,4,7.1546154
49,1,7.2370591
49,4,7.967145
58,3,7.2269359
45,3,7.5202346
54,2,7.0900769
35,4,7.3132205
56,4,7.967145
46,5,7.6009026
43,3,6.1092477
28,3,6.5400195
38,5,6.9077554
59,1,6.3969297
42,4,7.6568103
36,5,6.5510802
49,5,7.6568103
56,3,6.3543701
55,2,6.2146082
42,2,6.7298241
36,2,6.9631901
52,2,6.5510802
28,3,6.3577037
34,3,5.6524892
51,2,5.9914646
36,2,6.7452364
73,5,5.6347895
47,2,7.2493925
67,5,7.0508509
33,4,7.0836396
32,2,6.3099184
32,4,7.3385372
44,2,6.7298241
56,3,6.9077554
35,4,7.0508509
59,3,6.1202974
44,2,7.0518556
66,3,7.410347
41,4,7.0475173
30,5,6.9077554
26,4,7.0508509
27,3,6.64539
21,3,5.1929569
23,3,5.3936276
39,4,6.1753683
36,4,7.0900769
26,4,6.6045671
33,5,7.6962128
62,5,7.5103869
35,2,6.8405466
63,4,7.3873253
44,3,6.6450911
58,4,7.3385372
51,3,6.6846118
34,4,7.9373746
30,3,6.2146082
31,3,6.2146082
30,4,7.5616779
43,4,7.967145
49,4,7.2050037
22,3,5.1929569
63,3,7.3382382
24,3,6.8023949
26,4,7.4558768
55,2,7.0501227
51,4,7.6569896
65,3,6.0867748
34,1,6.0867748
56,4,7.0561752
27,2,5.9401712
31,3,7.5065918
51,3,5.8251147
27,3,6.6592941
32,2,6.6200733
30,3,7.8632669
47,3,6.8023949
31,3,6.5940852
41,3,7.130899
55,4,7.967145
22,4,5.7037826
67,4,7.6104717
46,4,7.0900769
39,2,6.2265368
34,2,6.9454942
27,1,5.7037826
59,2,7.3382382
49,2,7.0030656
53,2,6.3969297
44,1,6.2146082
45,3,6.9077554
53,2,7.0900769
21,2,6.8277049
26,2,5.9914646
48,3,6.64539
26,3,6.025866
71,3,5.439817
50,1,5.9914646
43,4,7.4558768
28,3,6.1312265
46,4,7.967145
55,3,5.6204009
40,3,7.1001263
45,1,5.8289456
24,2,6.1345472
62,2,6.2146082
46,4,7.8240461
39,2,6.6846118
22,3,6.5012898
25,2,6.3561077
56,3,6.5792513
56,2,6.252347
62,4,5.5464268
50,3,5.2983174
57,2,7.0501227
41,5,6.9638424
45,4,7.5207763
28,4,7.130899
48,2,7.0210838
53,2,6.2065759
54,4,7.3385372
29,2,7.967145
47,4,6.9077554
23,4,6.9818602
75,1,6.3279366
52,2,6.6846118
44,3,6.7093043
42,4,7.5616779
55,3,7.456316
25,3,6.5400195
26,3,6.7631688
46,4,7.4897475
21,2,6.2146082
38,3,7.3385372
36,2,6.363028
59,3,6.8221974
51,1,5.9914646
41,2,6.6200733
22,3,6.1355648
58,2,6.6846118
34,1,7.3132205
31,3,7.967145
30,2,7.1853871
54,3,6.0438199
63,4,6.3726711
31,2,6.3456364
35,2,6.9077554
45,3,6.2146082
52,3,6.2146082
46,2,6.7334018
21,2,5.3821988
41,4,6.7357802
21,3,6.3904924
67,4,7.6496925
70,3,6.8243737
30,3,6.5510802
50,4,7.8240461
57,3,7.4558768
22,3,4.7004805
41,3,6.9946666
53,2,6.2146082
22,3,5.8468723
40,5,7.7440023
42,3,6.3969297
26,4,6.7391
29,2,6.7334018
62,1,6.3969297
58,2,6.0450053
49,5,7.2739944
31,3,6.4831076
47,3,7.488853
51,3,5.480639
26,2,6.7223411
37,1,5.4868693
43,4,7.4024515
55,3,6.6688633
31,3,6.6141891
24,4,5.7037826
58,2,6.9196839
72,3,4.525044
27,3,6.1092477
54,4,7.2739944
33,4,7.2442274
32,2,6.5220928
56,3,6.6846118
28,3,6.5792513
53,4,6.5220928
58,3,5.3752785
23,4,6.0867748
55,3,7.5600805
51,2,6.9847164
34,3,5.9338355
60,2,6.2146082
58,2,6.9565454
62,3,5.2590566
36,2,7.7956467
37,2,6.64539
24,2,6.182085
32,4,6.7851467
39,2,6.3969297
33,4,6.9631901
